student_id,tutor_id,date,start,finish
7,8,2023/01/15,6:30,7:30
4,4,2023/01/06,6:30,7:30
9,1,2022/03/04,3:30,4:30
3,3,2023/01/08,6:30,7:30
15,1,2022/12/21,3:30,4:30
13,9,2022/05/16,6:30,7:30
18,7,2022/12/22,5:30,6:30
12,7,2022/04/02,7:30,8:30
10,5,2022/06/30,6:30,7:30
18,9,2022/09/27,3:30,4:30
3,2,2022/06/15,4:30,5:30
9,1,2022/08/03,5:30,6:30
9,4,2022/06/07,4:30,5:30
16,2,2022/03/05,4:30,5:30
17,5,2022/10/29,6:30,7:30
5,3,2022/07/26,6:30,7:30
12,8,2022/12/13,5:30,6:30
11,8,2022/04/27,5:30,6:30
16,4,2022/02/09,3:30,4:30
2,5,2022/09/17,2:30,3:30
8,7,2022/11/12,2:30,3:30
19,8,2022/06/23,4:30,5:30
4,5,2022/05/02,5:30,6:30
5,5,2022/10/05,5:30,6:30
14,1,2022/12/12,4:30,5:30
7,8,2022/12/20,3:30,4:30
12,8,2022/08/23,4:30,5:30
7,2,2022/08/29,7:30,8:30
13,1,2022/12/15,6:30,7:30
15,10,2022/08/29,3:30,4:30
2,7,2022/02/12,7:30,8:30
6,7,2022/09/16,3:30,4:30
20,3,2022/09/29,3:30,4:30
4,3,2022/08/08,3:30,4:30
19,6,2022/10/02,4:30,5:30
9,7,2022/02/17,4:30,5:30
6,3,2022/11/09,5:30,6:30
3,2,2022/03/23,6:30,7:30
11,9,2022/05/30,7:30,8:30
12,10,2022/01/26,7:30,8:30
17,4,2022/11/28,4:30,5:30
20,5,2022/09/06,6:30,7:30
10,9,2022/03/04,3:30,4:30
11,5,2022/04/03,3:30,4:30
2,2,2022/11/14,6:30,7:30
17,3,2022/03/11,7:30,8:30
8,5,2022/11/04,4:30,5:30
16,10,2023/01/14,6:30,7:30
14,1,2022/08/15,3:30,4:30
5,1,2022/04/12,4:30,5:30
5,1,2022/08/15,6:30,7:30
8,6,2022/02/03,5:30,6:30
8,3,2022/07/26,4:30,5:30
20,9,2022/06/29,4:30,5:30
9,1,2022/01/22,5:30,6:30
4,9,2022/03/13,4:30,5:30
1,4,2022/09/22,2:30,3:30
6,8,2022/02/28,5:30,6:30
1,9,2022/06/25,2:30,3:30
9,8,2022/06/14,7:30,8:30
6,6,2022/09/28,7:30,8:30
15,2,2022/12/15,3:30,4:30
1,7,2022/03/02,3:30,4:30
9,1,2022/03/01,6:30,7:30
5,7,2022/03/09,3:30,4:30
2,3,2022/09/23,7:30,8:30
13,4,2022/06/02,5:30,6:30
20,1,2022/08/14,5:30,6:30
17,9,2022/11/22,7:30,8:30
17,3,2022/08/10,7:30,8:30
5,5,2022/02/09,6:30,7:30
7,8,2022/09/06,7:30,8:30
13,5,2022/08/17,7:30,8:30
18,2,2022/08/25,3:30,4:30
7,2,2022/03/24,7:30,8:30
14,4,2022/09/28,4:30,5:30
1,4,2022/11/20,7:30,8:30
18,8,2022/02/25,6:30,7:30
6,10,2022/09/13,5:30,6:30
3,9,2023/01/10,6:30,7:30
20,1,2022/04/08,3:30,4:30
18,5,2022/03/21,4:30,5:30
4,8,2022/08/16,5:30,6:30
5,8,2022/06/24,2:30,3:30
20,8,2022/04/08,4:30,5:30
10,6,2022/09/07,2:30,3:30
1,1,2022/09/25,3:30,4:30
8,4,2022/05/25,4:30,5:30
11,1,2022/07/31,7:30,8:30
14,2,2022/03/20,2:30,3:30
4,9,2022/04/09,2:30,3:30
18,9,2022/03/20,4:30,5:30
2,5,2022/09/18,4:30,5:30
12,4,2022/11/03,4:30,5:30
17,4,2022/09/25,4:30,5:30
1,10,2022/10/30,4:30,5:30
16,8,2022/11/08,5:30,6:30
13,2,2023/01/12,3:30,4:30
9,9,2022/06/27,3:30,4:30
19,5,2022/08/18,5:30,6:30
